SalesKey,DateKey,ProductKey,CustomerKey,EmployeeKey,Quantity,DiscountPercent,UnitPrice,UnitCost,GrossSales,DiscountAmount,NetSales,Cost,GrossProfit,InvoiceNumber
1,20240101,1131,639,1018,23,0.0,60.66,11.71,1395.18,0.0,1395.18,269.33,1125.85,INV2024010100001
2,20240101,1242,564,1008,99,0.05,60.8,46.59,6019.2,300.96,5718.24,4612.41,1105.83,INV2024010100002
3,20240101,1118,716,1005,9,0.15,34.86,36.55,313.74,47.06,266.68,328.95,-62.27,INV2024010100003
4,20240101,1015,458,1012,77,0.05,89.62,27.47,6900.74,345.04,6555.7,2115.19,4440.51,INV2024010100004
5,20240101,1135,356,1021,50,0.0,69.44,14.5,3472.0,0.0,3472.0,725.0,2747.0,INV2024010100005
6,20240101,1093,395,1016,58,0.2,84.96,7.8,4927.68,985.54,3942.14,452.4,3489.74,INV2024010100006
7,20240101,1256,140,1010,43,0.2,83.19,40.62,3577.17,715.43,2861.74,1746.66,1115.08,INV2024010100007
8,20240101,1025,123,1007,2,0.15,93.62,5.88,187.24,28.09,159.15,11.76,147.39,INV2024010100008
9,20240101,1131,279,1011,66,0.05,60.66,11.71,4003.56,200.18,3803.38,772.86,3030.52,INV2024010100009
10,20240101,1157,172,1009,29,0.0,79.54,8.14,2306.66,0.0,2306.66,236.06,2070.6,INV2024010100010
11,20240101,1289,256,1007,45,0.1,54.66,48.82,2459.7,245.97,2213.73,2196.9,16.83,INV2024010100011
12,20240101,1296,419,1008,57,0.0,80.32,32.34,4578.24,0.0,4578.24,1843.38,2734.86,INV2024010100012
13,20240101,1096,703,1012,22,0.0,49.23,14.87,1083.06,0.0,1083.06,327.14,755.92,INV2024010100013
14,20240101,1278,373,1011,43,0.1,31.65,32.67,1360.95,136.1,1224.86,1404.81,-179.96,INV2024010100014
15,20240101,1111,84,1005,85,0.0,84.01,43.23,7140.85,0.0,7140.85,3674.55,3466.3,INV2024010100015
16,20240101,1151,515,1010,59,0.0,14.65,24.89,864.35,0.0,864.35,1468.51,-604.16,INV2024010100016
17,20240101,1127,191,1021,6,0.0,34.69,29.04,208.14,0.0,208.14,174.24,33.9,INV2024010100017
18,20240101,1132,680,1013,57,0.0,47.46,30.11,2705.22,0.0,2705.22,1716.27,988.95,INV2024010100018
19,20240101,1205,512,1006,28,0.2,15.72,10.11,440.16,88.03,352.13,283.08,69.05,INV2024010100019
20,20240101,1175,168,1020,80,0.0,24.22,35.49,1937.6,0.0,1937.6,2839.2,-901.6,INV2024010100020
21,20240101,1202,657,1005,1,0.05,10.26,45.52,10.26,0.51,9.75,45.52,-35.77,INV2024010100021
22,20240101,1067,419,1006,23,0.05,92.66,13.98,2131.18,106.56,2024.62,321.54,1703.08,INV2024010100022
23,20240101,1001,611,1008,8,0.15,59.08,38.33,472.64,70.9,401.74,306.64,95.1,INV2024010100023
24,20240101,1111,508,1016,61,0.2,84.01,43.23,5124.61,1024.92,4099.69,2637.03,1462.66,INV2024010100024
25,20240101,1319,37,1016,72,0.0,67.77,29.55,4879.44,0.0,4879.44,2127.6,2751.84,INV2024010100025
26,20240101,1214,73,1009,1,0.0,71.81,47.91,71.81,0.0,71.81,47.91,23.9,INV2024010100026
27,20240101,1047,176,1017,11,0.0,69.16,8.69,760.76,0.0,760.76,95.59,665.17,INV2024010100027
28,20240101,1173,298,1008,8,0.2,54.79,35.74,438.32,87.66,350.66,285.92,64.74,INV2024010100028
29,20240101,1259,504,1004,51,0.05,86.0,8.47,4386.0,219.3,4166.7,431.97,3734.73,INV2024010100029
30,20240101,1253,199,1012,31,0.0,86.64,16.34,2685.84,0.0,2685.84,506.54,2179.3,INV2024010100030
31,20240101,1025,640,1006,36,0.15,93.62,5.88,3370.32,505.55,2864.77,211.68,2653.09,INV2024010100031
32,20240101,1218,647,1009,72,0.15,41.65,32.02,2998.8,449.82,2548.98,2305.44,243.54,INV2024010100032
33,20240101,1279,492,1007,88,0.1,58.97,47.9,5189.36,518.94,4670.42,4215.2,455.22,INV2024010100033
34,20240101,1072,685,1005,91,0.0,13.99,13.55,1273.09,0.0,1273.09,1233.05,40.04,INV2024010100034
35,20240101,1027,568,1019,29,0.15,21.32,28.97,618.28,92.74,525.54,840.13,-314.59,INV2024010100035
36,20240101,1319,169,1009,82,0.15,67.77,29.55,5557.14,833.57,4723.57,2423.1,2300.47,INV2024010100036
37,20240101,1112,711,1017,73,0.05,51.38,45.12,3750.74,187.54,3563.2,3293.76,269.44,INV2024010100037
